readFileIntoArray: C:\Users\Tango\Desktop\Projects\DS2_P2\scala\scalation\data\forestfires_cleaned.csv
load: read 99 data rows so far ...
load: read 199 data rows so far ...
load: read 299 data rows so far ...
load: read 399 data rows so far ...
load: read 499 data rows so far ...
load: read in an 517-by-13 matrix from forestfires_cleaned.csv
ox_fname = Array(intercept, X, Y, month, day, FFMC, DMC, DC, ISI, temp, RH, wind, rain)
---------------------------------------------
| NeuralNet_3L for ForestFires with sigmoid |
---------------------------------------------
 scaled: x = 
MatrixD(1.00000,	0.750000,	0.428571,	0.181818,	0.666667,	0.870968,	0.0864921,	0.101325,	0.0909091,	0.192926,	0.423529,	0.700000,	0.00000,
 	1.00000,	0.750000,	0.285714,	0.818182,	0.166667,	0.927742,	0.118194,	0.775419,	0.119430,	0.508039,	0.211765,	0.0555556,	0.00000,
 	1.00000,	0.750000,	0.285714,	0.818182,	0.833333,	0.927742,	0.146795,	0.796294,	0.119430,	0.398714,	0.211765,	0.100000,	0.00000,
 	1.00000,	0.875000,	0.571429,	0.181818,	0.666667,	0.941935,	0.110958,	0.0816231,	0.160428,	0.196141,	0.964706,	0.400000,	0.0312500,
 	1.00000,	0.875000,	0.571429,	0.181818,	1.00000,	0.910968,	0.172984,	0.110590,	0.171123,	0.295820,	0.988235,	0.155556,	0.00000,
 	1.00000,	0.875000,	0.571429,	0.636364,	1.00000,	0.949677,	0.290145,	0.563035,	0.262032,	0.643087,	0.164706,	0.555556,	0.00000,
 	1.00000,	0.875000,	0.571429,	0.636364,	0.00000,	0.949677,	0.302550,	0.571948,	0.151515,	0.704180,	0.141176,	0.300000,	0.00000,
 	1.00000,	0.875000,	0.571429,	0.636364,	0.00000,	0.939355,	0.497243,	0.703999,	0.190731,	0.186495,	0.835294,	0.200000,	0.00000,
 	1.00000,	0.875000,	0.571429,	0.727273,	0.166667,	0.932903,	0.442453,	0.802979,	0.124777,	0.350482,	0.564706,	0.555556,	0.00000,
 	1.00000,	0.750000,	0.428571,	0.727273,	0.833333,	0.952258,	0.299449,	0.810015,	0.126560,	0.662379,	0.294118,	0.400000,	0.00000,
 	1.00000,	0.750000,	0.428571,	0.727273,	0.833333,	0.952258,	0.299449,	0.810015,	0.126560,	0.501608,	0.423529,	0.755556,	0.00000,
 	1.00000,	0.750000,	0.428571,	0.727273,	0.833333,	0.956129,	0.248449,	0.826903,	0.402852,	0.549839,	0.270588,	0.400000,	0.00000,
 	1.00000,	0.625000,	0.428571,	0.636364,	0.666667,	0.578065,	0.240179,	0.770963,	0.0142602,	0.475884,	0.670588,	0.700000,	0.00000,
 	1.00000,	0.625000,	0.428571,	0.727273,	0.00000,	0.931613,	0.432116,	0.795825,	0.124777,	0.614148,	0.317647,	0.200000,	0.00000,
 	1.00000,	0.625000,	0.428571,	0.727273,	0.333333,	0.957419,	0.455548,	0.811188,	0.163993,	0.778135,	0.0705882,	0.455556,	0.00000,
